Date,Open Price,High Price,Low Price,Close Price,Traded Value^,No. Of Trades,Traded Quantity
22-09-2017,"2,519.90","2,526.90","2,492.00","2,503.60",305.42,47174,1217698
21-09-2017,"2,491.05","2,541.00","2,480.00","2,524.90",306.05,44213,1219370
20-09-2017,"2,514.00","2,514.00","2,474.30","2,493.55",165.89,21548,667321
19-09-2017,"2,505.00","2,505.00","2,491.50","2,498.25",97.71,14036,391377
18-09-2017,"2,504.95","2,518.95","2,489.25","2,499.05",90.92,34868,363300
15-09-2017,"2,499.00","2,517.00","2,485.00","2,506.05",368.51,57885,1472036
14-09-2017,"2,482.00","2,497.60","2,471.90","2,486.95",134.33,38222,540755
13-09-2017,"2,500.00","2,531.65","2,475.20","2,489.20",160.16,32185,639490
12-09-2017,"2,473.90","2,497.00","2,457.00","2,488.45",172.44,25758,698230
11-09-2017,"2,471.20","2,482.95","2,450.00","2,454.45",90.25,17519,366382
08-09-2017,"2,453.75","2,474.00","2,452.55","2,470.60",125.91,26980,510567
07-09-2017,"2,458.00","2,468.40","2,451.05","2,460.10",107.03,35496,435318
06-09-2017,"2,468.15","2,474.85","2,450.00","2,453.20",150.82,37430,614382
05-09-2017,"2,460.00","2,490.00","2,437.05","2,484.35",143.60,27861,582997
04-09-2017,"2,453.10","2,461.00","2,438.00","2,456.20",130.27,29763,531272
01-09-2017,"2,480.00","2,498.05","2,436.55","2,456.45",208.78,40185,851165
31-08-2017,"2,485.00","2,504.40","2,466.65","2,496.35",222.18,47192,892332
30-08-2017,"2,481.00","2,490.00","2,460.10","2,484.55",120.30,24262,485391
29-08-2017,"2,482.00","2,496.00","2,463.95","2,470.85",162.30,23498,656301
28-08-2017,"2,504.60","2,505.40","2,461.00","2,487.30",252.54,54931,1018398
24-08-2017,"2,497.70","2,517.95","2,486.15","2,496.60",202.65,42614,811954
23-08-2017,"2,505.00","2,516.80","2,473.15","2,489.45",194.31,39129,781136
22-08-2017,"2,523.00","2,539.50","2,492.00","2,497.55",142.33,35029,565663
21-08-2017,"2,505.50","2,549.00","2,494.30","2,528.80",292.09,54265,1152417
18-08-2017,"2,474.00","2,549.90","2,471.40","2,513.80",357.63,77980,1418678
17-08-2017,"2,500.70","2,505.00","2,462.10","2,485.65",217.30,40452,876187
16-08-2017,"2,484.00","2,543.80","2,465.20","2,492.35",170.82,44396,686670
14-08-2017,"2,503.00","2,509.90","2,463.00","2,469.40",97.81,29766,393252
11-08-2017,"2,499.90","2,535.00","2,483.00","2,496.05",174.61,41945,697368
10-08-2017,"2,509.00","2,520.60","2,486.35","2,511.45",190.71,37900,763086
09-08-2017,"2,500.00","2,522.85","2,493.30","2,512.00",124.68,33860,496473
08-08-2017,"2,512.00","2,528.60","2,496.30","2,503.05",134.66,24609,536979
